,0
Start,2007-03-13 16:00:00
End,2007-03-19 19:00:00
Duration,6 days 03:00:00
Exposure Time [%],89.0
Equity Final [$],998070.16482
Equity Peak [$],1000784.3815199999
Return [%],-0.1929835180000053
Buy & Hold Return [%],1.4117849610467872
Return (Ann.) [%],-8.307714887743355
Volatility (Ann.) [%],0.5992048580037134
Sharpe Ratio,0.0
Sortino Ratio,0.0
Calmar Ratio,0.0
Max. Drawdown [%],-0.3194007639432894
Avg. Drawdown [%],-0.16586555481243326
Max. Drawdown Duration,5 days 12:00:00
Avg. Drawdown Duration,2 days 20:00:00
# Trades,25
Win Rate [%],40.0
Best Trade [%],0.34233094875828485
Worst Trade [%],-0.4525174812931354
Avg. Trade [%],-0.06700905734102758
Max. Trade Duration,2 days 06:00:00
Avg. Trade Duration,0 days 05:00:00
Profit Factor,0.4564895973613904
Expectancy [%],-0.06677665096151708
SQN,-1.5213016440205311
_strategy,CustomStrategy
_equity_curve,"                           Equity  DrawdownPct DrawdownDuration
Time                                                           
2007-03-13 16:00:00  1.000000e+06     0.000000              NaT
2007-03-13 17:00:00  1.000000e+06     0.000000              NaT
2007-03-13 18:00:00  1.000103e+06     0.000000              NaT
2007-03-13 19:00:00  1.000103e+06     0.000000              NaT
2007-03-13 20:00:00  1.000133e+06     0.000000              NaT
...                           ...          ...              ...
2007-03-19 15:00:00  9.980745e+05     0.002708              NaT
2007-03-19 16:00:00  9.980685e+05     0.002714              NaT
2007-03-19 17:00:00  9.980425e+05     0.002740              NaT
2007-03-19 18:00:00  9.980445e+05     0.002738              NaT
2007-03-19 19:00:00  9.980702e+05     0.002712  5 days 12:00:00

[100 rows x 3 columns]"
_trades,"    Size  EntryBar  ExitBar  EntryPrice  ExitPrice        PnL  ReturnPct           EntryTime            ExitTime        Duration
0   1000         1        2  116.124322    116.227  102.67756   0.000884 2007-03-13 17:00:00 2007-03-13 18:00:00 0 days 01:00:00
1   1000         3        4  116.109322    116.140   30.67786   0.000264 2007-03-13 19:00:00 2007-03-13 20:00:00 0 days 01:00:00
2  -1000         7        8  115.992680    116.116 -123.31990  -0.001063 2007-03-13 23:00:00 2007-03-14 00:00:00 0 days 01:00:00
3   1000         9       11  116.167323    116.565  397.67670   0.003423 2007-03-14 01:00:00 2007-03-14 03:00:00 0 days 02:00:00
4  -1000        12       20  116.532669    117.060 -527.33070  -0.004525 2007-03-14 04:00:00 2007-03-14 12:00:00 0 days 08:00:00
5   1000        21       22  117.273345    117.267   -6.34542  -0.000054 2007-03-14 13:00:00 2007-03-14 14:00:00 0 days 01:00:00
6  -1000        23       29  117.163657    117.295 -131.34332  -0.001121 2007-03-14 15:00:00 2007-03-14 21:00:00 0 days 06:00:00
7   1000        30       31  117.251345    117.310   58.65502   0.000500 2007-03-14 22:00:00 2007-03-14 23:00:00 0 days 01:00:00
8   1000        32       35  117.260345    117.251   -9.34516  -0.000080 2007-03-15 00:00:00 2007-03-15 03:00:00 0 days 03:00:00
9   1000        36       37  117.259345    117.160  -99.34514  -0.000847 2007-03-15 04:00:00 2007-03-15 05:00:00 0 days 01:00:00
10 -1000        38       40  117.241655    117.663 -421.34488  -0.003594 2007-03-15 06:00:00 2007-03-15 08:00:00 0 days 02:00:00
11  1000        41       43  117.616352    117.539  -77.35228  -0.000658 2007-03-15 09:00:00 2007-03-15 11:00:00 0 days 02:00:00
12  1000        44       47  117.478350    117.106 -372.34952  -0.003170 2007-03-15 12:00:00 2007-03-15 15:00:00 0 days 03:00:00
13  1000        49       51  116.860337    117.062  201.66284   0.001726 2007-03-15 17:00:00 2007-03-15 19:00:00 0 days 02:00:00
14  1000        52       54  117.034341    116.829 -205.34064  -0.001755 2007-03-15 20:00:00 2007-03-15 22:00:00 0 days 02:00:00
15  1000        55       59  116.843337    116.654 -189.33682  -0.001620 2007-03-15 23:00:00 2007-03-16 03:00:00 0 days 04:00:00
16 -1000        60       61  116.911662    116.730  181.66172   0.001554 2007-03-16 04:00:00 2007-03-16 05:00:00 0 days 01:00:00
17  1000        62       63  116.764335    116.775   10.66476   0.000091 2007-03-16 06:00:00 2007-03-16 07:00:00 0 days 01:00:00
18  1000        64       70  116.785336    116.398 -387.33566  -0.003317 2007-03-16 08:00:00 2007-03-18 14:00:00 2 days 06:00:00
19 -1000        71       72  116.687666    117.155 -467.33380  -0.004005 2007-03-18 15:00:00 2007-03-18 16:00:00 0 days 01:00:00
20  1000        73       75  116.985340    117.264  278.66034   0.002382 2007-03-18 17:00:00 2007-03-18 19:00:00 0 days 02:00:00
21 -1000        77       80  117.163657    117.567 -403.34332  -0.003443 2007-03-18 21:00:00 2007-03-19 00:00:00 0 days 03:00:00
22 -1000        82       83  117.426651    117.416   10.65142   0.000091 2007-03-19 02:00:00 2007-03-19 03:00:00 0 days 01:00:00
23  1000        87       91  117.657353    117.485 -172.35310  -0.001465 2007-03-19 07:00:00 2007-03-19 11:00:00 0 days 04:00:00
24  1000        93       98  117.412348    117.777  364.65180   0.003106 2007-03-19 13:00:00 2007-03-19 18:00:00 0 days 05:00:00"
